Size,Operation,Time
10,naive_multiplication,0.000000000000000000000e+00
10,better_multiplication,0.000000000000000000000e+00
10,GSL_multiplication,0.000000000000000000000e+00
10,naive_multiplication,0.000000000000000000000e+00
10,better_multiplication,0.000000000000000000000e+00
10,GSL_multiplication,0.000000000000000000000e+00
10,naive_multiplication,0.000000000000000000000e+00
10,better_multiplication,0.000000000000000000000e+00
10,GSL_multiplication,0.000000000000000000000e+00
10,naive_multiplication,0.000000000000000000000e+00
10,better_multiplication,0.000000000000000000000e+00
10,GSL_multiplication,0.000000000000000000000e+00
10,naive_multiplication,0.000000000000000000000e+00
10,better_multiplication,0.000000000000000000000e+00
10,GSL_multiplication,0.000000000000000000000e+00
10,naive_multiplication,0.000000000000000000000e+00
10,better_multiplication,0.000000000000000000000e+00
10,GSL_multiplication,0.000000000000000000000e+00
10,naive_multiplication,0.000000000000000000000e+00
10,better_multiplication,0.000000000000000000000e+00
10,GSL_multiplication,0.000000000000000000000e+00
10,naive_multiplication,0.000000000000000000000e+00
10,better_multiplication,0.000000000000000000000e+00
10,GSL_multiplication,0.000000000000000000000e+00
10,naive_multiplication,0.000000000000000000000e+00
10,better_multiplication,0.000000000000000000000e+00
10,GSL_multiplication,0.000000000000000000000e+00
10,naive_multiplication,0.000000000000000000000e+00
10,better_multiplication,0.000000000000000000000e+00
10,GSL_multiplication,0.000000000000000000000e+00
100,naive_multiplication,0.000000000000000000000e+00
100,better_multiplication,1.000000000000000020817e-02
100,GSL_multiplication,0.000000000000000000000e+00
100,naive_multiplication,1.000000000000000020817e-02
100,better_multiplication,0.000000000000000000000e+00
100,GSL_multiplication,0.000000000000000000000e+00
100,naive_multiplication,1.000000000000000020817e-02
100,better_multiplication,0.000000000000000000000e+00
100,GSL_multiplication,1.000000000000000020817e-02
100,naive_multiplication,0.000000000000000000000e+00
100,better_multiplication,1.000000000000000020817e-02
100,GSL_multiplication,0.000000000000000000000e+00
100,naive_multiplication,1.000000000000000020817e-02
100,better_multiplication,0.000000000000000000000e+00
100,GSL_multiplication,0.000000000000000000000e+00
100,naive_multiplication,1.000000000000000020817e-02
100,better_multiplication,1.000000000000000020817e-02
100,GSL_multiplication,0.000000000000000000000e+00
100,naive_multiplication,0.000000000000000000000e+00
100,better_multiplication,1.000000000000000020817e-02
100,GSL_multiplication,0.000000000000000000000e+00
100,naive_multiplication,1.000000000000000020817e-02
100,better_multiplication,0.000000000000000000000e+00
100,GSL_multiplication,0.000000000000000000000e+00
100,naive_multiplication,1.000000000000000020817e-02
100,better_multiplication,1.000000000000000020817e-02
100,GSL_multiplication,0.000000000000000000000e+00
100,naive_multiplication,0.000000000000000000000e+00
100,better_multiplication,1.000000000000000020817e-02
100,GSL_multiplication,0.000000000000000000000e+00
190,naive_multiplication,5.000000000000000277556e-02
190,better_multiplication,4.000000000000000083267e-02
